Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2009-07-09 00:04:00,56.8,49.5,29.89,South,177,0.8,1.6,77,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:04:00,
2009-07-09 00:09:00,57.0,49.3,29.90,South,174,0.4,2.8,76,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:09:00,
2009-07-09 00:19:00,57.0,48.9,29.90,South,186,0.5,2.5,74,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:19:00,
2009-07-09 00:24:00,57.2,49.0,29.90,NW,308,1.6,2.7,74,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:24:00,
2009-07-09 00:29:00,57.0,49.0,29.90,ESE,121,0.4,2.7,75,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:29:00,
2009-07-09 00:39:00,56.8,49.1,29.90,NE,53,0.4,2.0,75,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:39:00,
2009-07-09 00:44:00,56.6,49.2,29.90,North,350,0.3,2.0,76,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:44:00,
2009-07-09 00:49:00,56.4,49.2,29.90,ENE,67,1.1,1.2,77,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:49:00,
2009-07-09 00:54:00,56.3,49.2,29.90,SSE,167,0.5,1.2,77,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:54:00,
2009-07-09 00:59:00,55.9,49.2,29.90,WNW,302,1.0,2.4,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 07:59:00,
2009-07-09 01:20:00,56.1,49.3,29.90,WNW,290,0.3,2.1,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 08:20:00,
2009-07-09 01:25:00,55.7,49.2,29.90,SE,126,0.3,1.0,79,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 08:25:00,
2009-07-09 01:40:00,55.2,49.3,29.90,SSE,167,0.4,1.3,81,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 08:40:00,
2009-07-09 01:45:00,54.8,49.2,29.90,East,90,0.2,1.1,81,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 08:45:00,
2009-07-09 01:51:00,54.5,49.2,29.90,West,268,0.2,1.0,82,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 08:51:00,
2009-07-09 01:56:00,54.1,49.1,29.89,SW,234,0.1,1.1,83,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 08:56:00,
2009-07-09 02:01:00,54.1,49.3,29.89,SW,216,0.5,1.1,84,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 09:01:00,
2009-07-09 02:06:00,54.1,49.2,29.89,SW,216,0.5,1.1,83,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 09:06:00,
2009-07-09 02:11:00,53.7,49.1,29.89,SE,129,0.7,1.0,84,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 09:11:00,
2009-07-09 02:16:00,54.1,49.4,29.89,SSE,155,1.1,1.3,84,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 09:16:00,
2009-07-09 02:21:00,53.9,49.3,29.89,SW,227,0.3,1.3,84,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 09:21:00,
2009-07-09 02:26:00,53.7,49.2,29.89,South,172,0.2,1.1,85,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 09:26:00,
2009-07-09 02:31:00,53.4,49.2,29.90,West,279,1.0,1.0,86,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 09:31:00,
2009-07-09 02:46:00,53.2,49.2,29.90,ENE,76,0.4,0.9,86,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 09:46:00,
2009-07-09 02:51:00,53.2,49.4,29.90,West,277,0.5,1.0,87,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 09:51:00,
2009-07-09 03:01:00,53.0,49.3,29.90,East,84,0.3,1.2,87,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:01:00,
2009-07-09 03:06:00,53.0,49.4,29.90,SSW,193,0.7,1.3,88,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:06:00,
2009-07-09 03:11:00,53.0,49.4,29.90,SSW,211,0.4,1.3,88,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:11:00,
2009-07-09 03:16:00,52.8,49.3,29.90,SW,229,0.4,1.0,88,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:16:00,
2009-07-09 03:21:00,52.8,49.3,29.90,SSE,165,0.3,0.9,88,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:21:00,
2009-07-09 03:26:00,53.0,49.6,29.90,SSW,205,0.6,1.3,88,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:26:00,
2009-07-09 03:31:00,52.8,49.4,29.90,WSW,244,0.2,1.3,88,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:31:00,
2009-07-09 03:36:00,52.7,49.5,29.90,SSW,210,0.6,1.0,89,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:36:00,
2009-07-09 03:47:00,52.5,49.6,29.90,SW,214,0.6,1.0,90,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:47:00,
2009-07-09 03:57:00,52.3,49.5,29.90,SE,133,0.5,0.9,90,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 10:57:00,
2009-07-09 04:12:00,52.5,49.7,29.90,SW,224,0.4,1.2,90,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 11:12:00,
2009-07-09 04:17:00,52.5,49.6,29.90,South,187,0.6,1.2,90,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 11:17:00,
2009-07-09 04:32:00,52.5,49.7,29.90,NW,322,0.3,1.2,90,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 11:32:00,
2009-07-09 04:42:00,51.8,49.4,29.90,SSW,195,0.5,1.2,91,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 11:42:00,
2009-07-09 04:53:00,51.9,49.4,29.90,SSW,196,0.4,1.2,91,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 11:53:00,
2009-07-09 04:58:00,51.9,49.3,29.90,SW,214,0.3,1.2,91,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 11:58:00,
2009-07-09 05:08:00,51.4,49.3,29.91,SW,219,0.3,0.7,92,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 12:08:00,
2009-07-09 05:23:00,51.4,49.2,29.91,WSW,245,0.6,1.3,92,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 12:23:00,
2009-07-09 05:28:00,51.2,49.0,29.91,WNW,297,0.7,1.3,92,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 12:28:00,
2009-07-09 05:33:00,51.0,48.9,29.91,West,279,0.4,1.2,92,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 12:33:00,
2009-07-09 05:48:00,50.9,49.0,29.91,WNW,282,0.7,0.9,93,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 12:48:00,
2009-07-09 05:53:00,50.7,48.8,29.91,SSW,196,0.2,0.9,93,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 12:53:00,
2009-07-09 06:03:00,50.5,48.9,29.92,SW,229,0.4,0.8,94,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 13:03:00,
2009-07-09 06:08:00,50.5,49.0,29.91,NNW,327,0.3,0.8,95,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 13:08:00,
2009-07-09 06:13:00,50.5,48.9,29.92,WSW,237,0.3,1.0,94,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 13:13:00,
2009-07-09 06:18:00,50.7,49.2,29.92,South,169,0.6,1.1,95,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 13:18:00,
2009-07-09 06:23:00,50.7,49.0,29.92,NNE,17,0.5,1.1,94,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 13:23:00,
2009-07-09 06:44:00,51.4,49.6,29.92,SSE,165,0.6,1.2,94,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 13:44:00,
2009-07-09 06:49:00,51.8,49.9,29.92,West,267,0.4,1.0,93,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 13:49:00,
2009-07-09 07:09:00,53.9,50.3,30.00,SE,132,0.2,0.8,88,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 14:09:00,
2009-07-09 07:14:00,55.4,50.5,30.00,SSE,159,0.8,1.2,84,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 14:14:00,
2009-07-09 07:24:00,56.8,51.4,30.00,SSE,167,0.4,1.4,82,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 14:24:00,
2009-07-09 07:34:00,57.9,52.2,30.00,West,278,0.5,2.6,81,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 14:34:00,
2009-07-09 07:39:00,58.6,52.6,30.01,SSE,165,1.1,2.9,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 14:39:00,
2009-07-09 07:45:00,58.6,52.5,30.01,SE,141,1.1,2.9,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 14:45:00,
2009-07-09 07:50:00,59.0,52.8,30.01,WNW,299,0.7,2.6,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 14:50:00,
2009-07-09 08:00:00,59.7,53.0,30.01,NNW,327,1.5,2.8,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:00:00,
2009-07-09 08:05:00,59.9,52.9,30.01,South,184,0.9,2.8,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:05:00,
2009-07-09 08:10:00,59.7,52.8,30.01,NNE,17,1.5,3.5,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:10:00,
2009-07-09 08:20:00,60.0,53.0,30.01,SSE,155,2.3,3.5,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:20:00,
2009-07-09 08:25:00,60.0,53.0,30.01,SSW,212,0.6,3.5,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:25:00,
2009-07-09 08:30:00,60.4,52.3,30.01,NW,323,1.8,4.4,75,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:30:00,
2009-07-09 08:35:00,60.6,52.9,30.01,SE,146,1.0,4.4,76,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:35:00,
2009-07-09 08:40:00,60.8,52.5,30.01,NNE,19,4.0,4.5,74,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:40:00,
2009-07-09 08:45:00,60.6,52.2,30.01,SE,135,2.7,6.1,74,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:45:00,
2009-07-09 08:50:00,60.8,52.0,30.01,West,275,2.3,6.1,73,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:50:00,
2009-07-09 08:55:00,61.1,52.5,30.01,SE,125,0.8,5.1,74,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 15:55:00,
2009-07-09 09:07:00,61.7,53.2,30.01,South,184,1.0,5.7,74,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 16:07:00,
2009-07-09 09:12:00,62.0,52.7,30.01,NNE,31,2.3,5.0,72,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 16:12:00,
2009-07-09 09:17:00,62.6,52.9,30.01,SE,133,1.1,3.9,71,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 16:17:00,
2009-07-09 09:27:00,62.2,52.0,30.01,South,179,2.1,5.3,69,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 16:27:00,
2009-07-09 09:32:00,62.6,51.9,30.01,SSE,148,1.4,5.3,68,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 16:32:00,
2009-07-09 09:42:00,63.5,51.9,30.01,West,279,0.9,5.3,66,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 16:42:00,
2009-07-09 09:47:00,63.8,52.6,30.01,West,272,1.4,5.3,67,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 16:47:00,
2009-07-09 10:02:00,64.7,53.5,30.01,NNE,30,1.5,6.4,67,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 17:02:00,
2009-07-09 10:07:00,64.5,53.4,30.01,ESE,107,1.1,6.6,67,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 17:07:00,
2009-07-09 10:22:00,64.7,52.1,30.01,NE,48,4.1,9.1,64,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 17:22:00,
2009-07-09 10:42:00,64.5,52.2,30.02,NNE,24,1.5,8.5,64,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 17:42:00,
2009-07-09 10:57:00,65.1,52.4,30.02,NE,35,3.4,10.3,64,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 17:57:00,
2009-07-09 11:02:00,64.7,52.3,30.02,ENE,68,5.3,11.4,64,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:02:00,
2009-07-09 11:07:00,65.4,52.0,30.02,NNE,32,5.7,11.4,62,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:07:00,
2009-07-09 11:12:00,66.0,52.6,30.02,NNE,27,7.8,8.9,62,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:12:00,
2009-07-09 11:17:00,66.2,53.3,30.02,NE,53,2.0,8.9,63,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:17:00,
2009-07-09 11:22:00,66.3,53.7,30.02,NE,55,7.2,9.6,64,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:22:00,
2009-07-09 11:32:00,66.0,52.8,30.02,NE,39,2.1,10.3,63,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:32:00,
2009-07-09 11:37:00,66.9,53.7,30.02,NE,44,5.0,10.3,63,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:37:00,
2009-07-09 11:42:00,67.4,49.9,30.02,East,86,4.4,8.7,54,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:42:00,
2009-07-09 11:52:00,68.7,50.5,30.02,WNW,301,0.5,6.8,52,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:52:00,
2009-07-09 11:57:00,69.6,49.7,30.01,East,88,3.2,6.8,49,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 18:57:00,
2009-07-09 12:02:00,69.2,49.4,30.01,ENE,59,2.3,7.6,50,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 19:02:00,
2009-07-09 12:07:00,69.6,49.8,30.01,East,97,2.4,7.6,50,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 19:07:00,
2009-07-09 12:17:00,69.4,49.0,30.01,NE,42,6.6,8.5,48,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 19:17:00,
2009-07-09 12:27:00,69.8,51.4,30.01,WNW,301,2.5,8.3,52,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 19:27:00,
2009-07-09 12:32:00,69.4,53.8,30.01,NE,43,2.5,10.1,58,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 19:32:00,
2009-07-09 12:37:00,68.5,53.8,30.01,NNE,20,3.5,13.2,60,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 19:37:00,
2009-07-09 12:47:00,67.6,53.5,30.01,NNE,25,2.4,13.5,61,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 19:47:00,
2009-07-09 12:52:00,67.6,54.1,30.01,East,93,5.6,13.5,62,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 19:52:00,
2009-07-09 12:57:00,67.8,53.1,30.01,NE,53,6.2,13.5,59,-99.99,,,0.00,WeatherBaga 1.0,2009-07-09 19:57:00,
