Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2011-11-12 00:04:00,50.7,48.7,29.82,WNW,299,1.0,1.4,93,0.00,,,0.00,9.001,WeatherBaga 2.4.3,2011-11-12 08:04:00,
2011-11-12 00:09:00,50.7,48.8,29.82,SSE,168,0.2,1.4,93,0.00,,,0.00,9.506,WeatherBaga 2.4.3,2011-11-12 08:09:00,
2011-11-12 00:14:00,51.0,49.1,29.82,NNW,343,0.2,1.9,93,0.00,,,0.00,9.384,WeatherBaga 2.4.3,2011-11-12 08:14:00,
2011-11-12 00:19:00,51.2,49.4,29.82,NE,36,0.3,3.9,93,0.00,,,0.00,9.338,WeatherBaga 2.4.3,2011-11-12 08:19:00,
2011-11-12 00:24:00,51.4,49.6,29.82,NW,307,1.2,3.9,93,0.00,,,0.00,9.612,WeatherBaga 2.4.3,2011-11-12 08:24:00,
2011-11-12 00:29:00,51.4,49.5,29.82,SSE,149,0.9,3.6,93,0.00,,,0.00,9.698,WeatherBaga 2.4.3,2011-11-12 08:29:00,
2011-11-12 00:34:00,51.4,49.5,29.82,SSE,160,0.9,2.3,93,0.00,,,0.00,9.562,WeatherBaga 2.4.3,2011-11-12 08:34:00,
2011-11-12 00:39:00,51.6,49.7,29.82,ESE,116,0.4,1.9,93,0.00,,,0.00,9.569,WeatherBaga 2.4.3,2011-11-12 08:39:00,
2011-11-12 00:44:00,51.6,49.7,29.82,WSW,255,0.8,1.9,93,0.00,,,0.00,9.536,WeatherBaga 2.4.3,2011-11-12 08:44:00,
2011-11-12 00:49:00,51.6,49.7,29.82,West,280,0.6,1.2,93,0.00,,,0.00,9.559,WeatherBaga 2.4.3,2011-11-12 08:49:00,
2011-11-12 00:54:00,51.6,49.7,29.83,South,176,0.8,1.0,93,0.00,,,0.00,10.014,WeatherBaga 2.4.3,2011-11-12 08:54:00,
2011-11-12 00:59:00,51.6,49.7,29.83,South,187,0.8,1.0,93,0.00,,,0.00,9.559,WeatherBaga 2.4.3,2011-11-12 08:59:00,
2011-11-12 01:04:00,51.6,49.7,29.83,WSW,254,0.5,1.2,93,0.00,,,0.00,9.846,WeatherBaga 2.4.3,2011-11-12 09:04:00,
2011-11-12 01:09:00,51.6,49.7,29.83,SE,126,0.3,1.2,93,0.00,,,0.00,10.080,WeatherBaga 2.4.3,2011-11-12 09:09:00,
2011-11-12 01:14:00,51.6,49.7,29.83,South,190,0.8,1.2,93,0.00,,,0.00,9.889,WeatherBaga 2.4.3,2011-11-12 09:14:00,
2011-11-12 01:19:00,51.6,49.7,29.82,WNW,288,0.4,1.0,93,0.00,,,0.00,10.100,WeatherBaga 2.4.3,2011-11-12 09:19:00,
2011-11-12 01:24:00,51.6,49.7,29.82,WNW,291,1.2,1.3,93,0.00,,,0.00,10.077,WeatherBaga 2.4.3,2011-11-12 09:24:00,
2011-11-12 01:29:00,51.6,49.7,29.82,WNW,297,0.6,1.3,93,0.00,,,0.00,9.833,WeatherBaga 2.4.3,2011-11-12 09:29:00,
2011-11-12 01:34:00,51.6,49.7,29.82,South,174,0.4,1.2,93,0.00,,,0.00,9.806,WeatherBaga 2.4.3,2011-11-12 09:34:00,
2011-11-12 01:39:00,51.6,49.7,29.82,WSW,249,0.2,1.5,93,0.00,,,0.00,9.948,WeatherBaga 2.4.3,2011-11-12 09:39:00,
2011-11-12 01:44:00,51.4,49.5,29.82,SSW,200,0.8,1.5,93,0.00,,,0.00,9.787,WeatherBaga 2.4.3,2011-11-12 09:44:00,
2011-11-12 01:49:00,51.2,49.3,29.82,SW,229,0.6,1.0,93,0.00,,,0.00,10.166,WeatherBaga 2.4.3,2011-11-12 09:49:00,
2011-11-12 01:54:00,51.0,49.1,29.82,SW,218,0.2,1.4,93,0.00,,,0.00,10.236,WeatherBaga 2.4.3,2011-11-12 09:54:00,
