Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2017-01-19 00:03:00,52.0,52.0,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:03:00,
2017-01-19 00:08:00,51.9,51.9,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:08:00,
2017-01-19 00:13:00,51.9,51.9,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:13:00,
2017-01-19 00:18:00,51.9,51.9,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:18:00,
2017-01-19 00:23:00,51.8,51.8,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:23:00,
2017-01-19 00:28:00,51.8,51.8,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:28:00,
2017-01-19 00:33:00,51.7,51.7,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:33:00,
2017-01-19 00:38:00,51.7,51.7,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:38:00,
2017-01-19 00:43:00,51.9,51.9,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:43:00,
2017-01-19 00:48:00,52.0,52.0,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:48:00,
2017-01-19 00:53:00,51.9,51.9,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:53:00,
2017-01-19 00:58:00,52.2,52.2,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 08:58:00,
2017-01-19 01:03:00,52.2,52.2,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:03:00,
2017-01-19 01:08:00,52.3,52.3,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:08:00,
2017-01-19 01:13:00,52.3,52.3,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:13:00,
2017-01-19 01:18:00,52.3,52.3,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:18:00,
2017-01-19 01:23:00,52.5,52.5,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:23:00,
2017-01-19 01:28:00,52.5,52.5,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:28:00,
2017-01-19 01:33:00,52.4,52.4,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:33:00,
2017-01-19 01:38:00,52.3,52.3,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:38:00,
2017-01-19 01:43:00,52.1,52.1,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:43:00,
2017-01-19 01:48:00,52.1,52.1,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:48:00,
2017-01-19 01:53:00,52.2,52.2,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:53:00,
2017-01-19 01:58:00,52.2,52.2,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 09:58:00,
2017-01-19 02:03:00,52.1,52.1,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:03:00,
2017-01-19 02:08:00,52.3,52.3,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:08:00,
2017-01-19 02:18:00,52.3,52.3,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:18:00,
2017-01-19 02:23:00,52.1,52.1,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:23:00,
2017-01-19 02:28:00,51.5,51.5,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:28:00,
2017-01-19 02:33:00,51.5,51.5,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:33:00,
2017-01-19 02:38:00,51.6,51.6,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:38:00,
2017-01-19 02:43:00,51.4,51.4,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:43:00,
2017-01-19 02:48:00,51.5,51.5,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:48:00,
2017-01-19 02:53:00,51.5,51.5,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:53:00,
2017-01-19 02:58:00,51.3,51.3,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 10:58:00,
2017-01-19 03:03:00,51.8,51.8,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:03:00,
2017-01-19 03:08:00,52.1,52.1,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:08:00,
2017-01-19 03:13:00,51.9,51.9,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:13:00,
2017-01-19 03:18:00,51.9,51.9,29.76,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:18:00,
2017-01-19 03:23:00,52.0,52.0,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:23:00,
2017-01-19 03:28:00,51.8,51.8,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:28:00,
2017-01-19 03:33:00,51.8,51.8,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:33:00,
2017-01-19 03:38:00,51.8,51.8,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:38:00,
2017-01-19 03:43:00,51.3,51.3,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:43:00,
2017-01-19 03:48:00,51.8,51.8,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:48:00,
2017-01-19 03:53:00,51.9,51.9,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:53:00,
2017-01-19 03:58:00,52.1,52.1,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 11:58:00,
2017-01-19 04:03:00,51.8,51.8,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 12:03:00,
2017-01-19 04:08:00,51.8,51.8,29.75,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 12:08:00,
2017-01-19 04:13:00,51.8,51.8,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 12:13:00,
2017-01-19 04:18:00,51.9,51.9,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 12:18:00,
2017-01-19 04:23:00,51.8,51.8,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 12:23:00,
2017-01-19 04:28:00,52.0,52.0,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 12:28:00,
2017-01-19 04:33:00,52.2,52.2,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 12:33:00,
2017-01-19 04:38:00,52.3,52.3,29.74,North,-9999,-999.9,-999.0,100,-99.99,,,-99.99,,2017-01-19 12:38:00,
